apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61403,,206427979,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,35845,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092055562466
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61403,,206427980,,outgoing,,"UnitID=15,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:15, Address:1, Address:0",,35845,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092055652735
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61403,,206427981,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,35845,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092055737419
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61403,,206427982,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,35845,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092055856019
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61405,,206427987,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,39265,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092056869036
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61405,,206427988,,outgoing,,"UnitID=17,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:17, Address:1, Address:0",,39265,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092056961729
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61405,,206427989,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,39265,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092057040753
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61405,,206427990,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,39265,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092057160350
elevated,traffic,-0700,21:18:12,Industrial,accept,6,0,,08:00:27:27:0f:cb,6,Modbus_Exception.Illegal.Function,,502,sniffer,,snat,13,undefined,0.0.0.0,port7,1,40034,61389,4,,0,,08:00:27:b0:47:08,,,0004000017,port7,undefined,10,allow,sniffer,,08:00:27:27:0f:cb,40299,0,13,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:b0:47:08,1,192.168.100.3,192.168.100.2,Reserved,Reserved,4,10,notice,6,4,FGDIT,,tcp/502,7,FGVM02TM24011031,2024-09-07,,1725769092569169164
elevated,traffic,-0700,21:18:12,Industrial,accept,6,0,,08:00:27:27:0f:cb,5,Modbus_Read.Input.Registers,,502,sniffer,,snat,13,undefined,0.0.0.0,port7,1,25873,61391,3,,0,,08:00:27:b0:47:08,,,0004000017,port7,undefined,1,allow,sniffer,,08:00:27:27:0f:cb,45237,0,13,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:b0:47:08,1,192.168.100.3,192.168.100.2,Reserved,Reserved,3,1,notice,5,4,FGDIT,,tcp/502,4,FGVM02TM24011031,2024-09-07,,1725769092569848112
